Source Well,Dest Well,Volume,Compound
A01,F16,150,JUMP1_rep1
A02,A10,150,DMSO
A03,C11,150,Cpd1_dose1
A04,P14,150,Cpd1_dose3
A05,P12,150,Cpd2_dose1
A06,O10,150,Cpd2_dose3
A07,C04,150,Cpd3_dose1
A08,B14,150,Cpd3_dose3
A09,B09,150,Cpd4_dose1
A10,D17,150,Cpd4_dose3
A11,P01,150,Cpd5_dose1
A12,E16,150,Cpd5_dose3
A13,O07,150,Cpd1_dose2
A14,M17,150,Cpd1_dose4
A15,K23,150,Cpd2_dose2
A16,H20,150,Cpd2_dose4
A17,D10,150,Cpd3_dose2
A18,M15,150,Cpd3_dose4
A19,K24,150,Cpd4_dose2
A20,P06,150,Cpd4_dose4
A21,A12,150,Cpd5_dose2
A22,C21,150,Cpd5_dose4
A23,K02,150,JUMP1_rep3
A24,A20,150,DMSO
B01,J07,150,JUMP1_rep2
B02,B15,150,DMSO
B03,E10,150,Cpd1_dose5
B04,A21,150,Cpd1_dose7
B05,F05,150,Cpd2_dose5
B06,M08,150,Cpd2_dose7
B07,J03,150,Cpd3_dose5
B08,L19,150,Cpd3_dose7
B09,L08,150,Cpd4_dose5
B10,A19,150,Cpd4_dose7
B11,O09,150,Cpd5_dose5
B12,L06,150,Cpd5_dose7
B13,D19,150,Cpd1_dose6
B14,K09,150,Cpd1_dose8
B15,C24,150,Cpd2_dose6
B16,B19,150,Cpd2_dose8
B17,N06,150,Cpd3_dose6
B18,A23,150,Cpd3_dose8
B19,O03,150,Cpd4_dose6
B20,F13,150,Cpd4_dose8
B21,J19,150,Cpd5_dose6
B22,B24,150,Cpd5_dose8
B23,L11,150,JUMP1_rep4
B24,B18,150,DMSO
C01,E13,150,JUMP2_rep1
C02,C03,150,DMSO
C03,B12,150,Cpd6_dose1
C04,M06,150,Cpd6_dose3
C05,C05,150,Cpd7_dose1
C06,F01,150,Cpd7_dose3
C07,P09,150,Cpd8_dose1
C08,B10,150,Cpd8_dose3
C09,E20,150,Cpd9_dose1
C10,J01,150,Cpd9_dose3
C11,B08,150,Cpd10_dose1
C12,N21,150,Cpd10_dose3
C13,P19,150,Cpd6_dose2
C14,L04,150,Cpd6_dose4
