plateID,well,cmpdname,CONCuM,cmpdnum,VOLuL
plate_3,A01,comp275,275,comp275_275,
plate_3,A02,ctrl1,1,ctrl1_1,
plate_3,A03,comp58,58,comp58_58,
plate_3,A04,comp305,305,comp305_305,
plate_3,A05,comp101,101,comp101_101,
plate_3,A06,comp138,138,comp138_138,
plate_3,A07,comp36,36,comp36_36,
plate_3,A08,comp318,318,comp318_318,
plate_3,A09,comp289,289,comp289_289,
plate_3,A10,comp189,189,comp189_189,
plate_3,A11,comp202,202,comp202_202,
plate_3,A12,ctrl4,1,ctrl4_1,
plate_3,A13,comp192,192,comp192_192,
plate_3,A14,DMSO,0,DMSO_0,
plate_3,A15,comp152,152,comp152_152,
plate_3,A16,comp57,57,comp57_57,
plate_3,A17,comp198,198,comp198_198,
plate_3,A18,comp82,82,comp82_82,
plate_3,A19,comp285,285,comp285_285,
plate_3,A20,DMSO,0,DMSO_0,
plate_3,A21,comp5,5,comp5_5,
plate_3,A22,comp132,132,comp132_132,
plate_3,A23,comp139,139,comp139_139,
plate_3,A24,comp271,271,comp271_271,
plate_3,B01,comp62,62,comp62_62,
plate_3,B02,comp102,102,comp102_102,
plate_3,B03,comp252,252,comp252_252,
plate_3,B04,comp295,295,comp295_295,
plate_3,B05,DMSO,0,DMSO_0,
plate_3,B06,comp203,203,comp203_203,
plate_3,B07,DMSO,0,DMSO_0,
plate_3,B08,comp49,49,comp49_49,
plate_3,B09,comp211,211,comp211_211,
plate_3,B10,comp207,207,comp207_207,
plate_3,B11,comp72,72,comp72_72,
plate_3,B12,comp15,15,comp15_15,
plate_3,B13,ctrl8,1,ctrl8_1,
plate_3,B14,comp31,31,comp31_31,
plate_3,B15,comp165,165,comp165_165,
plate_3,B16,comp178,178,comp178_178,
plate_3,B17,comp19,19,comp19_19,
plate_3,B18,comp209,209,comp209_209,
plate_3,B19,ctrl2,1,ctrl2_1,
plate_3,B20,comp187,187,comp187_187,
plate_3,B21,comp110,110,comp110_110,
plate_3,B22,comp2,2,comp2_2,
plate_3,B23,comp168,168,comp168_168,
plate_3,B24,comp144,144,comp144_144,
plate_3,C01,comp70,70,comp70_70,
plate_3,C02,comp42,42,comp42_42,
plate_3,C03,ctrl2,1,ctrl2_1,
plate_3,C04,comp98,98,comp98_98,
plate_3,C05,comp237,237,comp237_237,
plate_3,C06,comp186,186,comp186_186,
plate_3,C07,comp277,277,comp277_277,
plate_3,C08,comp217,217,comp217_217,
plate_3,C09,comp88,88,comp88_88,
plate_3,C10,comp274,274,comp274_274,
plate_3,C11,ctrl1,1,ctrl1_1,
plate_3,C12,comp199,199,comp199_199,
plate_3,C13,comp253,253,comp253_253,
plate_3,C14,comp204,204,comp204_204,
plate_3,C15,comp205,205,comp205_205,
plate_3,C16,DMSO,0,DMSO_0,
